11,Trần Đình Khang,Khoa học Máy tính,"Tiến sỹ (Khoa học Máy tính - trường Đại học Bách khoa Hà Nội - 1999), Kỹ sư (Toán học - Đại học Kỹ thuật Dresden - 1986)","Hệ thống hỗ trợ ra quyết định và thông minh, Logic mờ và suy luận gần đúng, Trí tuệ nhân tạo","Các bài toán ra quyết định, Ứng dụng trên mạng xã hội khuyến nghị, Xử lý thông tin mờ, Bộ mờ đại số loại 2, Hệ thống thông minh",36,0
12,Trịnh Thành Trung,Công nghệ Phần mềm,"Tiến sỹ (Viện Công nghệ Shibaura - Nhật Bản - 2021), Thạc sỹ (Đại học South Wales - Anh Quốc - 2011), Kỹ sư (Đại học kỹ thuật Lê Quý Đôn - 2009)","Đồ họa máy tính và phát triển trò chơi, Metaverse và các hệ thống thực tế ảo VR AR XR, Trí tuệ nhân tạo trong game và các hệ tác tử thông minh, Thiết kế giao diện và trải nghiệm người dùng","Đồ họa máy tính, Metaverse và Thực tế ảo, Phát triển trò chơi, Game AI, Tác tử thông minh rule-based reinforcement learning imitation learning, Mô hình hành vi con người",13,2
13,Trịnh Tuấn Đạt,Công nghệ Phần mềm,"Tiến sỹ (Khoa học Máy tính - Trường Đại học Kỹ thuật Vienna - Áo - 2016), Thạc sỹ (Trường Đại học Bách khoa Hà Nội - 2011), Kỹ sư (Trường Đại học Bách khoa Hà Nội - 2009)","Web ngữ nghĩa, An toàn an ninh, Thị giác máy tính","Dữ liệu liên kết mở, Tích hợp nhanh dữ liệu, An toàn an ninh web, Thực tế ảo, Thực tế ảo tăng cường, Thực tế ảo hỗn hợp",13,4
14,Vũ Thị Hương Giang,Hệ thống Thông tin,Kỹ sư (Trường Đại học Bách khoa Hà Nội - 2008),"Công nghệ Phần mềm, An toàn Thông tin, Tương tác người máy","Các hệ thống hướng dịch vụ và ứng dụng: chuyển đổi số e-learning IoT, Các khía cạnh ngoài chức năng của phần mềm: đảm bảo an toàn rủi ro dung lỗi dễ truy cập tương tác dùng được, Các phương pháp phát triển phần mềm tiên tiến và ứng dụng, Phân tích dữ liệu lớn",15,0
15,Vũ Tuyết Trinh,Hệ thống Thông tin,"Tiến sỹ (Khoa học Máy tính - Viện Đại học Bách khoa Grenoble - Pháp - 2005), Thạc sỹ (Công nghệ thông tin - Viện Tin học Pháp ngữ - 2000), Kỹ sư (Công nghệ thông tin - trường Đại học Bách khoa Hà Nội - 1997)","Quản trị và phân tích dữ liệu, Hệ phân tán, Tích hợp","Hệ có khả năng thích nghi và cá nhân hóa, Xử lý dữ liệu không gian – thời gian, Tích hợp dữ liệu và dịch vụ, Tính riêng tư trong các hệ thống thông tin, Vạn vật kết nối internet",22,0
16,Vũ Đức Vượng,Công nghệ Phần mềm,"Thạc sỹ (Đại học Tổng hợp Dresden - Đức - 2000), Kỹ sư Xử lý Thông tin Kinh tế (Đại học Tổng hợp Varna - 1986)","Phát triển phần mềm ứng dụng, Đào tạo từ xa Thương mại điện tử, Hệ thống thông tin Erp MRP, Phát triển phần mềm trên .net các ứng dụng trên mobile web","Đào tạo từ xa, kỹ thuật lập trình, phương pháp lập trình, Lập trình an toàn, Lập trình di động, Marketing di động, Thương mại điện tử, Quản lý giáo dục, Hệ thống thông tin Erp MRP",36,0
17,Đào Thành Chung,Khoa học Máy tính,"Tiến sỹ (Khoa học Máy tính - trường Đại học Bách khoa Hà Nội - 2015), Thạc sỹ (Công nghệ thông tin - trường Đại học Bách khoa Hà Nội - 2014), Kỹ sư (Khoa học Máy tính - trường Đại học Bách khoa Hà Nội - 2011)","Hệ phân tán, Tính toán hiệu năng cao, Công nghệ chuỗi khối","Bảo vệ dữ liệu cá nhân và các mô hình đồng thuận trong chuỗi khối, Truy xuất nguồn gốc dựa trên chuỗi khối, Ví điện toán đám mây và ví cứng cho tiền ảo, Hadoop and Spark, MPI, Giải thuật MapReduce",11,3
18,Đỗ Bá Lâm,Hệ thống Thông tin,"Tiến sỹ (Khoa học Máy tính - Đại học Công nghệ Vienna - Áo - 2017), Thạc sỹ (Công nghệ thông tin - trường Đại học Bách khoa Hà Nội - 2011), Kỹ sư (Công nghệ thông tin - trường Đại học Bách khoa Hà Nội - 2008)","Web ngữ nghĩa, Tích hợp dữ liệu, Công nghệ chuỗi khối","Tích hợp và Khai thác dữ liệu sử dụng ngữ nghĩa, Trích rút thông tin, Đối sánh và ánh xạ lược đồ, Bảo vệ dữ liệu cá nhân và các mô hình đồng thuận trong chuỗi khối, Truy xuất nguồn gốc dựa trên chuỗi khối",11,3
19,Đỗ Phan Thuận,Khoa học Máy tính,"Tiến sĩ (Khoa học máy tính - Đại học tổng hợp Burgundy - CH Pháp - 2008), Thạc sĩ (Khoa học máy tính - Đại học Paris 7 - CH Pháp - 2005), Kỹ sư (Công nghệ thông tin - Đại học Bách khoa Hà Nội - 1998)","Lý thuyết đồ thị và tổ hợp, Tối ưu hóa, Trí tuệ nhân tạo","Các thuật toán trên đồ thị, Thuật toán ứng dụng trong các lĩnh vực Mạng máy tính Logistic Trí tuệ nhân tạo Tin sinh học, Tổ hợp trên dãy số",17,3
20,Ban Hà Bằng,Khoa học Máy tính,"Tiến sỹ (Khoa học Máy tính - trường Đại học Bách khoa Hà Nội - 2014), Thạc sỹ (Khoa học Máy tính - trường Đại học Bách khoa Hà Nội - 2008), Kỹ sư (Khoa học Máy tính - trường Đại học Bách khoa Hà Nội - 2006)","Đồ thị, Tối ưu hóa, Trí tuệ nhân tạo","Thuật toán trên đồ thị, Tối ưu hóa tổ hợp, Metaheuristics, Kiểm thử phầm mềm, Trí tuệ nhân tạo",17,1
